[2024-12-23T20:05:06.337+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-12-23T20:05:44.945+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000017.mp3
[2024-12-23T20:05:47.229+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000018.mp3
[2024-12-23T20:05:49.571+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000019.mp3
[2024-12-23T20:05:51.845+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000020.mp3
[2024-12-23T20:05:54.189+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000021.mp3
[2024-12-23T20:05:56.641+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000022.mp3
[2024-12-23T20:05:59.097+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000023.mp3
[2024-12-23T20:06:01.513+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000024.mp3
[2024-12-23T20:06:03.805+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000025.mp3
[2024-12-23T20:06:06.204+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000026.mp3
[2024-12-23T20:06:08.628+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000027.mp3
[2024-12-23T20:06:11.020+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000028.mp3
[2024-12-23T20:06:13.328+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000029.mp3
