[2024-12-23T17:17:37.590+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-12-23T17:18:18.970+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000018.mp3
[2024-12-23T17:18:21.418+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000019.mp3
[2024-12-23T17:18:23.865+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000020.mp3
[2024-12-23T17:18:26.161+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000021.mp3
[2024-12-23T17:18:28.494+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000022.mp3
[2024-12-23T17:18:30.861+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000023.mp3
[2024-12-23T17:18:33.212+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000024.mp3
[2024-12-23T17:18:35.455+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000025.mp3
[2024-12-23T17:18:37.804+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000026.mp3
[2024-12-23T17:18:40.139+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000027.mp3
[2024-12-23T17:18:42.395+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000028.mp3
[2024-12-23T17:18:44.725+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000029.mp3
[2024-12-23T17:18:47.028+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000030.mp3
[2024-12-23T17:18:49.323+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000031.mp3
[2024-12-23T17:18:51.608+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000032.mp3
[2024-12-23T17:18:54.085+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000033.mp3
[2024-12-23T17:18:56.346+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000034.mp3
[2024-12-23T17:18:58.729+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000035.mp3
[2024-12-23T17:19:01.094+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000036.mp3
[2024-12-23T17:19:03.417+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000037.mp3
[2024-12-23T17:19:05.787+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000038.mp3
[2024-12-23T17:19:08.117+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000039.mp3
[2024-12-23T17:19:10.465+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000040.mp3
[2024-12-23T17:19:12.790+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000041.mp3
[2024-12-23T17:19:15.216+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000042.mp3
[2024-12-23T17:19:17.610+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000043.mp3
[2024-12-23T17:19:20.006+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000044.mp3
[2024-12-23T17:19:22.292+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000045.mp3
[2024-12-23T17:19:24.589+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000046.mp3
[2024-12-23T17:19:26.874+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000047.mp3
[2024-12-23T17:19:29.107+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000048.mp3
[2024-12-23T17:19:31.370+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000049.mp3
[2024-12-23T17:19:33.703+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000050.mp3
[2024-12-23T17:19:36.085+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000051.mp3
[2024-12-23T17:19:38.343+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000052.mp3
[2024-12-23T17:19:40.629+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000053.mp3
[2024-12-23T17:19:42.894+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000054.mp3
[2024-12-23T17:19:45.151+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000055.mp3
[2024-12-23T17:19:47.560+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000056.mp3
[2024-12-23T17:19:49.857+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000057.mp3
[2024-12-23T17:19:52.123+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000058.mp3
[2024-12-23T17:19:54.405+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000059.mp3
[2024-12-23T17:19:56.731+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000060.mp3
[2024-12-23T17:19:59.026+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000061.mp3
[2024-12-23T17:20:01.430+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000062.mp3
[2024-12-23T17:20:03.801+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000063.mp3
[2024-12-23T17:20:06.090+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000064.mp3
[2024-12-23T17:20:08.404+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000065.mp3
[2024-12-23T17:20:10.809+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000066.mp3
[2024-12-23T17:20:13.058+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000067.mp3
[2024-12-23T17:20:15.382+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000068.mp3
[2024-12-23T17:20:17.698+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000069.mp3
[2024-12-23T17:20:20.042+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000070.mp3
[2024-12-23T17:20:22.363+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000071.mp3
[2024-12-23T17:20:24.628+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000072.mp3
[2024-12-23T17:20:26.919+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/3/20240300000073.mp3
