[2024-12-23T17:17:37.580+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-12-23T17:17:37.617+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: streaming_pipeline.image_to_datalake manual__2024-12-23T17:17:32.821041+00:00 [queued]>
[2024-12-23T17:17:37.629+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: streaming_pipeline.image_to_datalake manual__2024-12-23T17:17:32.821041+00:00 [queued]>
[2024-12-23T17:17:37.630+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-12-23T17:17:37.647+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): image_to_datalake> on 2024-12-23 17:17:32.821041+00:00
[2024-12-23T17:17:37.659+0000] {standard_task_runner.py:63} INFO - Started process 241 to run task
[2024-12-23T17:17:37.662+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'streaming_pipeline', 'image_to_datalake', 'manual__2024-12-23T17:17:32.821041+00:00', '--job-id', '136', '--raw', '--subdir', 'DAGS_FOLDER/pipeline_stream.py', '--cfg-path', '/tmp/tmp8szkq4eg']
[2024-12-23T17:17:37.665+0000] {standard_task_runner.py:91} INFO - Job 136: Subtask image_to_datalake
[2024-12-23T17:17:37.733+0000] {task_command.py:426} INFO - Running <TaskInstance: streaming_pipeline.image_to_datalake manual__2024-12-23T17:17:32.821041+00:00 [running]> on host 0b4a5bf62610
[2024-12-23T17:18:09.400+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000014.jpg
[2024-12-23T17:18:11.724+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000015.jpg
[2024-12-23T17:18:14.005+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000016.jpg
[2024-12-23T17:18:16.294+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000017.jpg
[2024-12-23T17:18:18.639+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000018.jpg
[2024-12-23T17:18:20.949+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000019.jpg
[2024-12-23T17:18:23.375+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000020.jpg
[2024-12-23T17:18:25.784+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000021.jpg
[2024-12-23T17:18:28.136+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000022.jpg
[2024-12-23T17:18:30.491+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000023.jpg
[2024-12-23T17:18:32.863+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000024.jpg
[2024-12-23T17:18:35.158+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000025.jpg
[2024-12-23T17:18:37.436+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000026.jpg
[2024-12-23T17:18:39.765+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000027.jpg
[2024-12-23T17:18:42.065+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000028.jpg
[2024-12-23T17:18:44.381+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000029.jpg
[2024-12-23T17:18:46.710+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000030.jpg
[2024-12-23T17:18:49.018+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000031.jpg
[2024-12-23T17:18:51.315+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000032.jpg
[2024-12-23T17:18:53.632+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000033.jpg
[2024-12-23T17:18:56.001+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000034.jpg
[2024-12-23T17:18:58.378+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000035.jpg
[2024-12-23T17:19:00.728+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000036.jpg
[2024-12-23T17:19:03.092+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000037.jpg
[2024-12-23T17:19:05.433+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000038.jpg
[2024-12-23T17:19:07.772+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000039.jpg
[2024-12-23T17:19:10.136+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000040.jpg
[2024-12-23T17:19:12.455+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000041.jpg
[2024-12-23T17:19:14.771+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000042.jpg
[2024-12-23T17:19:17.171+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000043.jpg
[2024-12-23T17:19:19.606+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000044.jpg
[2024-12-23T17:19:22.002+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000045.jpg
[2024-12-23T17:19:24.294+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000046.jpg
[2024-12-23T17:19:26.579+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000047.jpg
[2024-12-23T17:19:28.847+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000048.jpg
[2024-12-23T17:19:31.105+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000049.jpg
[2024-12-23T17:19:33.366+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000050.jpg
[2024-12-23T17:19:35.670+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000051.jpg
[2024-12-23T17:19:38.049+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000052.jpg
[2024-12-23T17:19:40.341+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000053.jpg
[2024-12-23T17:19:42.614+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000054.jpg
[2024-12-23T17:19:44.874+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000055.jpg
[2024-12-23T17:19:47.156+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000056.jpg
[2024-12-23T17:19:49.538+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000057.jpg
