[2024-12-23T11:12:58.009+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-12-23T11:13:08.832+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000005.mp3
[2024-12-23T11:13:11.089+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000006.mp3
[2024-12-23T11:13:13.386+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000007.mp3
[2024-12-23T11:13:15.705+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000008.mp3
[2024-12-23T11:13:18.002+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000009.mp3
[2024-12-23T11:13:20.278+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000010.mp3
[2024-12-23T11:13:22.561+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000011.mp3
[2024-12-23T11:13:25.029+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000012.mp3
[2024-12-23T11:13:27.331+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000013.mp3
[2024-12-23T11:13:29.645+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000014.mp3
[2024-12-23T11:13:31.939+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000015.mp3
[2024-12-23T11:13:34.486+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000016.mp3
[2024-12-23T11:13:36.906+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000017.mp3
[2024-12-23T11:13:39.197+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000018.mp3
[2024-12-23T11:13:41.560+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000019.mp3
[2024-12-23T11:13:44.049+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000020.mp3
[2024-12-23T11:13:46.352+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000021.mp3
[2024-12-23T11:13:48.678+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000022.mp3
[2024-12-23T11:13:51.035+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000023.mp3
[2024-12-23T11:13:53.473+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000024.mp3
[2024-12-23T11:13:55.780+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000025.mp3
[2024-12-23T11:13:58.767+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000026.mp3
[2024-12-23T11:14:01.222+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000027.mp3
[2024-12-23T11:14:03.809+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000028.mp3
[2024-12-23T11:14:06.131+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000029.mp3
[2024-12-23T11:14:08.385+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000030.mp3
[2024-12-23T11:14:10.761+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000031.mp3
[2024-12-23T11:14:13.195+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000032.mp3
[2024-12-23T11:14:15.803+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000033.mp3
[2024-12-23T11:14:18.162+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000034.mp3
[2024-12-23T11:14:20.439+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000035.mp3
[2024-12-23T11:14:22.711+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000036.mp3
[2024-12-23T11:14:25.214+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000037.mp3
[2024-12-23T11:14:27.693+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000038.mp3
[2024-12-23T11:14:29.953+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000039.mp3
[2024-12-23T11:14:32.250+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000040.mp3
[2024-12-23T11:14:34.591+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000041.mp3
[2024-12-23T11:14:36.954+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000042.mp3
[2024-12-23T11:14:39.254+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000043.mp3
[2024-12-23T11:14:41.522+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000044.mp3
[2024-12-23T11:14:43.775+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000045.mp3
[2024-12-23T11:14:46.090+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000046.mp3
[2024-12-23T11:14:48.351+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000047.mp3
[2024-12-23T11:14:50.641+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000048.mp3
[2024-12-23T11:14:53.049+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/2/20240200000049.mp3
